the_geom,OBJECTID,Sensor Status (1=Active 0=Inactive),Occupancy,Unique ID,RWIS Site Number,RWIS RPU ID,Sensor Name,PLSS Township,PLSS Section,PLSS Range,RWIS Name,NWS ID,Latitude,Longitude,Altitude,County Name,Route Name,Mile Post,Cost Center,Garage Name,DOT District,County Number,Data Last Pulled from RWIS Sensor (UTC),REST Service Last Updated (UTC),Normal Volume,Long Volume,Average Speed (MPH),Average Headway,Lane ID,UTC Offset,RAMS Route ID,RAMS Route Measure
POINT (-95.2915 41.498167),9,1,0,51200642,512006,6,I-80 EB Passing Lane,T77N,2,R39W,Avoca,RAVI4,41.498167,-95.2915,1238,POTTAWATTAMIE,I-80,43,554802,Avoca,4,78,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,3,68,9999,2,-05:00,S001910080E,42.4
POINT (-91.5555 40.895667),16,1,0,51203241,512032,32,US 218 NB Driving Lane,T70N,4,R06W,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,37,555844,Mount Pleasant,5,44,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,1,66,9999,1,-05:00,S001920218N,38.2
POINT (-90.6835 42.0685),62,1,0,51202843,512028,28,US 61 NB Passing Lane,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,159,556808,Maquoketa,6,49,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,0,61,9999,3,-05:00,S001920061S,32.7
POINT (-93.7943 41.0267),37,1,0,51203543,512035,35,I-35 NB Passing Lane,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,115,555620,Osceola,5,20,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,12,65,9999,3,-05:00,S001920034E,114.1
POINT (-95.1476 42.4726),33,1,0,51207342,512073,73,EB Traffic,,,,Early,ERY14,42.4726,-95.1476,1399,Sac,US 20 W,71.4,553805,Storm Lake,3,81,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,0,64,9999,2,-05:00,S001920020W,235.537
POINT (-92.4212 41.016833),38,1,0,51203644,512036,36,US 63 SB Passing Lane,T72N,24,R14W,Ottumwa,ROTI4,41.016833,-92.4212,642,WAPELLO,IA 149,0,555690,Ottumwa,5,90,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,13,1,42,9999,4,-05:00,S001930149N,0.2
POINT (-96.0787 42.4822),44,1,2,51204142,512041,41,US 20 WB Passing Lane,T89N,31,R44W,Moville,RSCI4,42.4822,-96.0787,1149,WOODBURY,US 20,18,553603,Sioux City Leeds,3,97,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,2,27,9999,2,-05:00,S001920020W,283.2
POINT (-91.4473 42.471),2,1,0,51202741,512027,27,US 20 WB Driving Lane,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,277,556605,Manchester,6,28,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,2,66,9999,1,-05:00,S001920020W,43.2
POINT (-91.6997 43.2455),15,1,0,51201542,512015,15,IA 9 EB,T97N,5,R07W,Decorah,RDCI4,43.2455,-91.6997,1017,WINNESHIEK,IA 9,265,552896,Decorah,2,96,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,2,-05:00,S001930009E,264.8
POINT (-95.0888 43.126833),46,1,0,51204241,512042,42,US 18 EB,T96N,22,R36W,Spencer,RSPI4,43.126833,-95.0888,1484,CLAY,US 18,85,553812,Spencer,3,21,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001920018E,84.6
POINT (-96.0843 42.997833),50,1,0,51200242,512002,2,IA 10 EB,T95N,31,R44W,Alton,RTNI4,42.997833,-96.0843,1410,SIOUX,IA 10,24,553808,Alton,3,84,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,1,1,59,9999,2,-05:00,S001930010E,24.2
POINT (-93.5315 42.5875),59,1,0,51204743,512047,47,I-35 NB Passing Lane,T90N,23,R23W,Williams,RWII4,42.5875,-93.5315,1067,HAMILTON,I-35,153,551609,Williams,2,4,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,6,71,9999,3,-05:00,S001910035S,65.8
POINT (-92.8725 41.390167),56,1,0,51203742,512037,37,IA 163 WB Passing Lane,T76N,13,R18W,Pella,RPLI4,41.390167,-92.8725,890,MARION,IA 163,45,555662,Oskaloosa,5,63,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,15,0,69,9999,2,-05:00,S001930163W,120.8
POINT (-91.6838 41.93),39,1,0,51201042,512010,10,US 30 EB Passing Lane,T82N,8,R07W,Cedar Rapids US 30,RCII4,41.93,-91.6838,807,LINN,US 30,252,556608,Cedar Rapids,6,57,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,18,3,65,9999,2,-05:00,S001920030E,249.3
POINT (-91.0992 40.813),28,1,0,51200744,512007,7,US 34 EB Driving Lane,T70N,33,R02W,Burlington,RBUI4,40.813,-91.0992,715,DES MOINES,US 34,263,555829,Burlington,5,29,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,4,-05:00,S001920034W,0.2
POINT (-92.4212 41.016833),63,1,0,51203643,512036,36,US 63 SB Drving Lane,T72N,24,R14W,Ottumwa,ROTI4,41.016833,-92.4212,642,WAPELLO,IA 149,0,555690,Ottumwa,5,90,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,13,0,41,9999,3,-05:00,S001930149N,0.2
POINT (-90.731 42.490333),12,1,0,51202042,512020,20,US 20 EB Passing Lane,T89N,82,R02E,Dubuque,RDBI4,42.490333,-90.731,819,DUBUQUE,US 20,316,556806,Dubuque,6,31,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,18,2,42,9999,2,-05:00,S001920020E,296.3
POINT (-90.6835 42.0685),23,1,0,51202844,512028,28,US 61 NB Driving Lane,T84N,24,R02E,Maquoketa,RMQI4,42.0685,-90.6835,824,JACKSON,US 61,159,556808,Maquoketa,6,49,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,0,76,9999,4,-05:00,S001920061S,32.7
POINT (-92.062 40.6578),55,1,0,51205941,512059,59,IA 2 EB,T68N,30,R10W,Cantril,RCLI4,40.6578,-92.062,693,VAN BUREN,IA 2,219,555826,Bloomfield,5,89,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001930002E,212.7
POINT (-91.1272 41.6448),17,1,7,51204442,512044,44,I-80 EB Passing Lane,T79N,18,R02W,Tipton,RTPI4,41.6448,-91.1272,664,CEDAR,I-80,266,556802,Tipton,6,16,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,24,27,64,9999,2,-05:00,S001910080E,265.8
POINT (-91.6745 41.978),29,1,1,51200944,512009,9,I-380 NB Passing Lane,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,20,556608,Cedar Rapids,6,57,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,55,7,45,9999,4,-05:00,S001910380N,20
POINT (-96.0787 42.4822),57,1,0,51204141,512041,41,US 20 WB Driving Lane,T89N,31,R44W,Moville,RSCI4,42.4822,-96.0787,1149,WOODBURY,US 20,18,553603,Sioux City Leeds,3,97,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001920020W,283.2
POINT (-93.5315 42.5875),40,1,0,51204744,512047,47,I-35 NB Driving Lane,T90N,23,R23W,Williams,RWII4,42.5875,-93.5315,1067,HAMILTON,I-35,153,551609,Williams,2,4,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,2,66,9999,4,-05:00,S001910035S,65.8
POINT (-90.731 42.490333),51,1,0,51202041,512020,20,US 20 EB Driving Lane,T89N,82,R02E,Dubuque,RDBI4,42.490333,-90.731,819,DUBUQUE,US 20,316,556806,Dubuque,6,31,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,11,5,46,9999,1,-05:00,S001920020E,296.3
